date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:06	4901/4901	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:05%20GMT	https://static.wixstatic.com/media/a323de_7343d5dddf074b1d87ca83f45ee09c51~mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/javi.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_7343d5dddf074b1d87ca83f45ee09c51_mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/javi.jpg	(from https://www.futbolsites.net/)
13:20:06	6726/6726	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:06%20GMT	https://static.wixstatic.com/media/a323de_37380984b1844367a659aff32549aafd~mv2.jpg/v1/crop/x_0,y_52,w_755,h_755/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/Luis-Marambio.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_37380984b1844367a659aff32549aafd_mv2.jpg/v1/crop/x_0,y_52,w_755,h_755/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/Luis-Marambio.jpg	(from https://www.futbolsites.net/)
13:20:06	3377/3377	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:06%20GMT	https://static.wixstatic.com/media/a323de_244e1fded08a43b08db043ed9af59a55~mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/IVAN%20DUDA%20FSN.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_244e1fded08a43b08db043ed9af59a55_mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/IVAN%20DUDA%20FSN.jpg	(from https://www.futbolsites.net/)
13:20:07	4044/4044	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:07%20GMT	https://static.wixstatic.com/media/a323de_3030c167dfe34feeaacb503e437cc86e~mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/cris.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_3030c167dfe34feeaacb503e437cc86e_mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/cris.jpg	(from https://www.futbolsites.net/)
13:20:07	4634/4634	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:07%20GMT	https://static.wixstatic.com/media/a323de_744d97bd74d945859d0b724b272b6af9~mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/wally.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_744d97bd74d945859d0b724b272b6af9_mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/wally.jpg	(from https://www.futbolsites.net/)
13:20:08	5534/5534	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:07%20GMT	https://static.wixstatic.com/media/a323de_e9ae33cf57474d43ac687d0d2f7428a8~mv2.jpeg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/WhatsApp%20Image%202020-11-03%20at%205_10_59%20PM_.jpeg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_e9ae33cf57474d43ac687d0d2f7428a8_mv2.jpeg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/WhatsApp%20Image%202020-11-03%20at%205_10_59%20PM_.jpg	(from https://www.futbolsites.net/)
13:20:08	10646/10646	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:08%20GMT	https://static.wixstatic.com/media/a323de_65044debc30a4295a62dc65771eaf29c~mv2.jpg/v1/crop/x_500,y_167,w_987,h_987/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/paulina-aguero_edited.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_65044debc30a4295a62dc65771eaf29c_mv2.jpg/v1/crop/x_500,y_167,w_987,h_987/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/paulina-aguero_edited.jpg	(from https://www.futbolsites.net/)
13:20:08	8714/8714	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:08%20GMT	https://static.wixstatic.com/media/a323de_46bf7fcc8f7e4b5f9adbe2fa598b07c4~mv2.jpg/v1/crop/x_0,y_126,w_960,h_962/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/martin%20guida_edited.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_46bf7fcc8f7e4b5f9adbe2fa598b07c4_mv2.jpg/v1/crop/x_0,y_126,w_960,h_962/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/martin%20guida_edited.jpg	(from https://www.futbolsites.net/)
13:20:09	5490/5490	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:09%20GMT	https://static.wixstatic.com/media/a323de_95a0801e3ed943848e22d54172eaf9b0~mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/cris.jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_95a0801e3ed943848e22d54172eaf9b0_mv2.jpg/v1/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/cris.jpg	(from https://www.futbolsites.net/)
13:20:09	8107/8107	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Sep%202024%2019:20:09%20GMT	https://static.wixstatic.com/media/a323de_861f81d49eae45f38a18b05b1f36ef8a~mv2.jpg/v1/crop/x_111,y_366,w_2282,h_2284/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/FullSizeRender%20(1).jpg	C:/Users/Cneo/Downloads/futbolmonteso/static.wixstatic.com/media/a323de_861f81d49eae45f38a18b05b1f36ef8a_mv2.jpg/v1/crop/x_111,y_366,w_2282,h_2284/fill/w_160,h_160,al_c,q_80,usm_0.33_1.00_0.00,enc_auto/FullSizeRender%20(1).jpg	(from https://www.futbolsites.net/)
